character	episode	words	profanities
6	44	0.0	0
7	44	1.78	0
8	44	0.0	0
9	44	3.53	16.26
10	44	0.0	0
11	44	2.84	10.1
1	45	24.94	13.67
2	45	9.74	5.83
3	45	10.54	29.65
4	45	0.14	200.0
5	45	2.1	27.03
6	45	0.0	0
7	45	4.26	13.33
8	45	0.0	0
9	45	2.19	51.95
10	45	0.0	0
11	45	0.0	0
1	46	8.3	77.87
2	46	9.28	3.66
3	46	3.43	0
4	46	0.03	0
5	46	0.0	0
6	46	0.0	0
7	46	0.0	0
8	46	0.0	0
9	46	10.61	35.26
10	46	0.0	0
11	46	0.0	0
1	47	14.84	5.45
2	47	7.66	10.56
3	47	16.99	12.7
4	47	2.48	21.74
5	47	0.0	0
6	47	4.83	0
7	47	0.46	0
8	47	0.0	0
9	47	1.56	51.72
10	47	0.0	0
11	47	0.0	0
1	48	9.34	11.73
2	48	5.4	25.38
3	48	9.09	12.05
4	48	0.58	47.62
5	48	0.0	0
6	48	0.0	0
7	48	0.0	0
8	48	0.0	0
9	48	19.75	13.87
10	48	0.0	0
11	48	0.0	0
1	49	20.42	21.89
2	49	11.46	39.02
3	49	16.15	19.03
4	49	0.98	28.57
5	49	2.4	34.88
6	49	0.0	0
7	49	0.0	0
8	49	0.0	0
9	49	0.0	0
10	49	1.9	73.53
11	49	0.0	0
1	50	23.61	12.49
2	50	9.88	4.98
3	50	10.96	15.7
4	50	1.28	38.46
5	50	2.43	10.1
6	50	3.07	8.0
7	50	0.0	0
8	50	0.0	0
9	50	0.0	0
10	50	0.0	0
11	50	0.0	0
1	51	6.83	28.99
2	51	4.65	7.09
3	51	10.73	15.38
4	51	3.5	9.43
5	51	0.0	0
6	51	0.0	0
7	51	4.92	0
8	51	0.0	0
9	51	0.0	0
10	51	0.0	0
11	51	0.0	0
1	52	5.66	5.0
2	52	4.95	5.71
3	52	7.58	11.19
4	52	0.31	0
5	52	0.0	0
6	52	11.68	19.37
7	52	0.59	0
8	52	0.03	0
9	52	7.69	33.09
10	52	0.0	0
11	52	0.0	0
1	53	0.0	0
2	53	0.0	0
3	53	0.0	0
4	53	0.0	0
5	53	0.0	0
6	53	0.0	0
7	53	0.0	0
8	53	0.0	0
9	53	0.0	0
10	53	0.0	0
11	53	0.0	0
1	54	28.65	8.88
2	54	4.78	29.59
3	54	4.78	23.67
4	54	1.81	0
5	54	2.23	12.66
6	54	0.0	0
7	54	0.0	0
8	54	0.0	0
9	54	2.26	25.0
10	54	0.0	0
11	54	0.0	0
1	55	11.73	11.39
2	55	0.69	0
3	55	19.44	15.11
4	55	1.6	33.33
5	55	3.04	0
6	55	0.0	0
7	55	0.0	0
8	55	0.19	0
9	55	14.77	19.89
10	55	0.0	0
11	55	0.0	0
1	56	9.01	17.14
2	56	5.59	0
3	56	3.22	0
4	56	0.57	45.45
5	56	0.03	0
6	56	15.57	9.92
7	56	0.64	0
8	56	12.79	2.01
9	56	3.47	14.81
10	56	0.03	0
11	56	0.08	0
1	57	33.6	16.53
2	57	4.47	22.6
3	57	8.56	5.9
4	57	0.96	52.63
5	57	2.32	0
6	57	3.66	6.9
7	57	17.47	0
8	57	3.58	14.08
9	57	0.0	0
10	57	0.0	0
11	57	0.0	0
1	58	16.22	10.69
2	58	3.12	15.87
3	58	11.96	14.49
4	58	0.67	111.11
5	58	2.23	0
6	58	0.0	0
7	58	0.59	0
8	58	0.0	0
9	58	0.0	0
10	58	0.59	0
11	58	0.0	0
1	59	28.72	9.35
2	59	2.44	32.97
3	59	2.98	0
4	59	0.56	0
5	59	0.51	0
6	59	0.0	0
7	59	0.0	0
8	59	0.0	0
9	59	0.0	0
10	59	0.0	0
11	59	0.0	0
1	60	11.34	14.49
2	60	7.78	7.04
3	60	11.64	14.12
4	60	0.52	52.63
5	60	3.34	0
6	60	2.05	53.33
7	60	0.0	0
8	60	0.33	0
9	60	8.27	23.18
10	60	0.33	0
11	60	0.0	0
1	61	19.59	8.67
2	61	7.56	44.94
3	61	9.51	20.83
4	61	0.08	0
5	61	0.0	0
6	61	0.0	0
7	61	0.0	0
8	61	0.0	0
9	61	26.1	4.34
10	61	0.0	0
11	61	0.0	0
1	62	28.48	15.8
2	62	8.89	23.35
3	62	2.7	0
4	62	0.0	0
5	62	2.94	0
6	62	0.0	0
7	62	0.62	0
8	62	3.74	0
9	62	1.73	0
10	62	2.53	0
11	62	0.0	0
1	63	13.68	32.32
2	63	7.41	11.19
3	63	5.66	0
4	63	0.8	34.48
5	63	0.77	0
6	63	6.66	0
7	63	0.0	0
8	63	0.17	0
9	63	0.75	0
10	63	0.08	0
11	63	0.0	0
1	64	14.83	13.73
2	64	13.29	2.19
3	64	12.33	14.15
4	64	0.15	0
5	64	3.9	0
6	64	0.0	0
7	64	0.38	0
8	64	0.0	0
9	64	0.0	0
10	64	0.0	0
11	64	2.09	0
1	65	7.45	31.5
2	65	21.65	10.84
3	65	12.88	22.78
4	65	0.12	0
5	65	4.17	14.08
6	65	0.0	0
7	65	0.41	0
8	65	0.0	0
9	65	0.0	0
10	65	0.0	0
11	65	0.0	0
1	66	11.88	44.74
2	66	14.56	34.67
3	66	6.38	37.5
4	66	0.24	0
5	66	1.41	56.6
6	66	8.37	31.75
7	66	1.67	15.87
8	66	0.0	0
9	66	7.2	173.43
10	66	0.0	0
11	66	0.0	0
1	67	3.62	53.1
2	67	0.0	0
3	67	11.5	25.07
4	67	0.16	0
5	67	2.47	0
6	67	0.0	0
7	67	5.54	23.12
8	67	0.0	0
9	67	0.0	0
10	67	0.0	0
11	67	0.0	0
1	68	11.85	7.19
2	68	14.35	11.88
3	68	14.06	6.06
4	68	0.0	0
5	68	2.22	12.82
6	68	0.0	0
7	68	0.0	0
8	68	0.0	0
9	68	0.0	0
10	68	0.0	0
11	68	0.0	0
1	69	55.35	6.76
2	69	5.72	9.35
3	69	2.91	18.35
4	69	0.13	0
5	69	0.16	0
6	69	0.59	0
7	69	0.0	0
8	69	0.0	0
9	69	0.0	0
10	69	0.08	0
11	69	0.0	0
1	70	3.34	7.46
2	70	9.92	10.05
3	70	7.75	6.43
4	70	0.27	0
5	70	0.25	0
6	70	0.0	0
7	70	0.0	0
8	70	0.0	0
9	70	0.17	0
10	70	0.55	0
11	70	0.0	0
1	71	37.03	13.45
2	71	14.86	8.82
3	71	8.99	26.24
4	71	0.76	0
5	71	0.97	0
6	71	0.0	0
7	71	0.0	0
8	71	0.0	0
9	71	0.58	0
10	71	0.31	0
11	71	0.0	0
1	72	8.06	26.94
2	72	4.26	12.74
3	72	8.03	33.78
4	72	0.41	0
5	72	5.27	5.15
6	72	5.97	40.91
7	72	2.04	26.67
8	72	1.79	60.61
9	72	6.51	37.5
10	72	0.41	0
11	72	0.0	0
1	73	9.85	8.96
2	73	14.32	6.16
3	73	18.08	8.13
4	73	0.41	71.43
5	73	0.0	0
6	73	0.0	0
7	73	0.03	0
8	73	0.0	0
9	73	0.68	0
10	73	0.0	0
11	73	0.0	0
1	74	17.14	23.5
2	74	11.47	22.36
3	74	21.54	6.8
4	74	0.55	266.67
5	74	1.72	0
6	74	0.0	0
7	74	1.76	0
8	74	1.25	29.41
9	74	0.0	0
10	74	0.0	0
11	74	0.0	0
1	75	22.2	6.54
2	75	7.21	40.32
3	75	4.36	6.67
4	75	0.17	166.67
5	75	5.55	5.24
6	75	0.0	0
7	75	0.0	0
8	75	0.0	0
9	75	0.41	0
10	75	0.52	111.11
11	75	0.23	125.0
1	76	6.83	29.85
2	76	21.19	2.4
3	76	1.63	46.88
4	76	0.0	0
5	76	0.0	0
6	76	0.0	0
7	76	2.09	24.39
8	76	0.0	0
9	76	17.5	14.56
10	76	0.0	0
11	76	0.0	0
1	77	7.09	32.79
2	77	3.54	49.18
3	77	4.21	20.69
4	77	0.03	0
5	77	1.86	0
6	77	1.16	0
7	77	0.38	0
8	77	0.0	0
9	77	9.01	3.23
10	77	0.03	0
11	77	0.35	83.33
1	78	38.49	13.32
2	78	13.0	13.92
3	78	9.14	3.3
4	78	1.81	33.33
5	78	3.83	39.37
6	78	5.61	0
7	78	0.81	0
8	78	0.0	0
9	78	0.97	0
10	78	0.0	0
11	78	0.0	0
1	79	0.11	0
2	79	0.0	0
3	79	0.51	105.26
4	79	0.0	0
5	79	34.77	4.59
6	79	0.0	0
7	79	0.0	0
8	79	0.0	0
9	79	0.24	0
10	79	0.0	0
11	79	0.0	0
1	80	20.38	36.8
2	80	10.04	30.93
3	80	9.49	43.6
4	80	0.0	0
