episode	character	value
2	Other	21
2	Cartman	8
2	Mr. Garrison	15
2	Wendy	10
2	Mr. Garrison	8
2	Wendy	36
2	Mr. Garrison	3
2	Wendy	1
2	Stan	12
2	Other	1
2	Other	-1
2	Other	2
2	Other	1
2	Kenny	3
2	Kyle	8
2	Kyle	-1
2	Other	1
2	Other	1
2	Kyle	11
2	Other	8
2	Cartman	12
2	Other	9
2	Cartman	7
2	Wendy	36
2	Other	2
2	Other	5
2	Stan	11
2	Wendy	31
2	Stan	11
2	Wendy	4
2	Other	21
2	Other	6
2	Other	10
2	Other	15
2	Other	11
2	Stan	12
2	Mr. Garrison	15
2	Other	7
2	Mr. Garrison	13
2	Kyle	9
2	Mr. Garrison	3
2	Other	14
2	Other	-2
2	Other	26
2	Cartman	9
2	Other	11
2	Cartman	13
2	Chef	5
2	Chef	-1
2	Chef	6
2	Other	11
2	Chef	-1
2	Chef	15
3	Other	11
3	Cartman	2
3	Kyle	5
3	Stan	14
3	Other	12
3	Other	11
3	Other	21
3	Other	7
3	Other	19
3	Cartman	4
3	Other	18
3	Cartman	2
3	Other	6
3	Cartman	5
3	Kyle	8
3	Cartman	7
3	Stan	10
3	Kenny	5
3	Other	4
3	Cartman	3
3	Cartman	-1
3	Cartman	3
3	Other	9
3	Cartman	1
3	Other	56
3	Stan	7
3	Other	2
3	Other	14
3	Kyle	4
3	Other	35
3	Other	18
3	Cartman	16
3	Stan	5
3	Other	6
3	Stan	12
3	Cartman	7
3	Other	11
3	Stan	14
3	Kyle	4
3	Cartman	11
3	Other	28
3	Stan	12
3	Other	10
3	Kyle	4
3	Other	17
3	Cartman	4
3	Other	29
3	Stan	5
3	Other	4
3	Other	16
3	Cartman	1
3	Other	12
3	Other	5
3	Other	3
3	Stan	3
3	Kyle	3
3	Cartman	7
3	Kyle	1
3	Cartman	12
3	Other	9
3	Other	5
3	Kyle	3
3	Cartman	5
3	Stan	2
3	Other	6
3	Stan	7
3	Other	23
3	Stan	11
3	Other	10
3	Cartman	11
3	Stan	4
3	Stan	-2
3	Cartman	5
3	Stan	3
3	Cartman	6
3	Kyle	3
3	Randy	53
3	Cartman	4
3	Other	6
3	Other	13
3	Other	5
3	Other	6
3	Other	1
3	Other	16
3	Other	7
3	Cartman	9
3	Chef	18
3	Other	9
3	Other	8
3	Other	15
3	Other	10
3	Other	25
3	Other	13
3	Other	5
3	Other	1
3	Other	4
3	Other	9
3	Randy	14
3	Other	7
3	Randy	15
3	Other	2
3	Chef	14
3	Other	9
3	Other	10
3	Other	39
3	Other	21
3	Other	-1
3	Other	17
3	Other	1
3	Other	3
3	Cartman	4
3	Kyle	10
3	Cartman	8
3	Other	13
3	Kyle	8
3	Stan	3
3	Cartman	6
3	Other	17
3	Other	-1
3	Other	13
3	Other	-1
3	Stan	5
3	Stan	-1
3	Stan	1
3	Cartman	8
3	Kyle	7
3	Cartman	9
3	Stan	1
3	Cartman	20
3	Stan	1
3	Cartman	16
3	Kyle	2
3	Cartman	11
3	Stan	2
3	Kyle	2
3	Cartman	5
3	Stan	1
3	Cartman	25
3	Kyle	2
3	Kyle	-1
3	Kyle	5
3	Cartman	41
3	Stan	7
3	Kyle	5
3	Kenny	4
3	Kyle	3
3	Stan	10
3	Cartman	4
3	Kyle	11
3	Cartman	6
3	Other	16
3	Other	25
3	Cartman	26
3	Other	8
3	Kyle	4
3	Stan	2
3	Kyle	12
3	Stan	6
3	Kyle	5
3	Stan	24
3	Kyle	9
3	Stan	1
3	Other	13
3	Other	3
3	Other	3
3	Stan	4
3	Other	2
3	Other	-1
3	Other	1
3	Stan	1
3	Other	32
3	Other	8
3	Kenny	4
3	Kenny	-1
3	Kenny	1
3	Other	5
3	Other	20
3	Kenny	2
3	Other	37
3	Other	1
3	Other	7
3	Other	11
3	Other	24
3	Other	1
3	Other	41
3	Chef	9
3	Other	12
3	Other	8
3	Other	15
3	Other	10
3	Other	18
3	Kyle	1
3	Cartman	12
3	Other	4
3	Kyle	6
3	Other	10
3	Other	9
3	Other	5
3	Cartman	6
3	Other	4
3	Cartman	1
3	Cartman	-1
3	Other	-1
3	Other	5
3	Cartman	8
3	Other	4
3	Cartman	3
3	Other	21
3	Randy	6
3	Other	2
3	Randy	26
3	Other	6
3	Randy	4
3	Other	16
3	Other	42
3	Kyle	3
3	Cartman	5
3	Other	5
3	Stan	8
3	Other	6
3	Cartman	9
3	Other	5
3	Stan	13
3	Other	6
3	Cartman	8
3	Other	26
3	Other	40
3	Other	105
3	Other	3
3	Chef	11
3	Chef	-1
3	Chef	4
3	Other	5
3	Stan	10
3	Stan	-1
3	Cartman	4
3	Kyle	10
3	Stan	1
3	Stan	-1
3	Stan	5
3	Other	6
3	Cartman	1
3	Stan	1
3	Cartman	4
3	Other	4
3	Cartman	15
3	Other	10
3	Other	13
3	Kyle	1
3	Other	2
3	Other	-1
3	Other	6
3	Kyle	6
3	Kenny	12
3	Other	3
3	Other	4
3	Other	1
3	Other	6
3	Chef	3
3	Other	12
3	Other	17
3	Other	18
3	Cartman	1
3	Other	6
3	Cartman	3
3	Kyle	7
3	Other	6
3	Other	4
3	Other	5
3	Other	1
3	Other	4
3	Chef	2
3	Mr. Garrison	11
3	Other	11
3	Other	9
3	Kyle	1
3	Stan	6
3	Other	4
3	Other	1
3	Other	4
3	Randy	13
3	Other	7
3	Randy	1
3	Other	1
3	Mr. Garrison	4
3	Kyle	4
3	Kenny	5
3	Other	35
3	Chef	35
3	Other	11
3	Other	13
3	Other	1
3	Other	3
3	Stan	10
3	Other	7
3	Other	4
3	Stan	4
3	Other	4
3	Other	-1
3	Other	7
3	Stan	2
3	Kyle	6
3	Other	11
3	Stan	1
3	Other	22
3	Kenny	3
3	Stan	15
3	Other	21
3	Kyle	7
3	Stan	7
3	Cartman	3
3	Cartman	-1
4	Kyle	12
4	Stan	2
4	Kyle	2
4	Stan	12
4	Kyle	2
4	Stan	13
4	Cartman	6
4	Stan	13
4	Cartman	13
4	Other	1
4	Stan	5
4	Cartman	6
4	Stan	3
4	Stan	-1
4	Cartman	6
4	Kyle	3
4	Stan	5
4	Stan	-1
4	Cartman	6
4	Cartman	-1
4	Cartman	4
4	Cartman	-1
4	Cartman	7
4	Cartman	-1
4	Stan	3
4	Kenny	8
4	Stan	1
4	Cartman	7
4	Cartman	-1
4	Stan	4
4	Cartman	4
4	Cartman	-1
4	Cartman	1
4	Stan	3
4	Kyle	9
4	Kenny	4
4	Stan	4
4	Cartman	3
4	Cartman	-1
4	Cartman	3
4	Cartman	-1
4	Chef	21
4	Kyle	3
4	Cartman	2
4	Chef	36
4	Other	4
4	Chef	5
4	Other	7
4	Chef	10
4	Other	19
4	Chef	6
4	Other	1
4	Chef	5
4	Chef	-1
4	Chef	2
4	Stan	3
4	Chef	2
4	Chef	-1
4	Chef	1
4	Other	1
4	Other	6
4	Chef	4
4	Other	17
4	Chef	3
4	Other	23
4	Chef	7
4	Other	5
4	Chef	8
4	Other	9
4	Stan	1
4	Other	2
4	Chef	3
4	Other	11
4	Chef	13
4	Kyle	6
4	Stan	14
4	Clyde	12
4	Stan	18
4	Clyde	10
4	Cartman	4
4	Stan	4
4	Cartman	9
4	Cartman	-1
4	Cartman	1
4	Clyde	3
4	Other	8
4	Other	6
4	Other	-1
4	Other	9
4	Other	-1
4	Other	1
4	Cartman	16
4	Mr. Garrison	17
4	Cartman	1
4	Cartman	-1
4	Mr. Garrison	8
4	Other	10
4	Mr. Garrison	7
4	Stan	6
4	Mr. Garrison	8
4	Stan	16
4	Mr. Garrison	2
4	Cartman	1
4	Stan	2
4	Cartman	11
4	Mr. Garrison	30
4	Cartman	3
4	Other	8
4	Cartman	2
4	Mr. Garrison	13
4	Stan	8
4	Mr. Garrison	7
4	Stan	4
4	Mr. Garrison	14
4	Mr. Garrison	-1
4	Mr. Garrison	2
4	Mr. Garrison	-1
4	Mr. Garrison	51
4	Stan	2
4	Mr. Garrison	22
4	Cartman	11
4	Cartman	-1
4	Kyle	6
4	Kyle	-1
4	Kyle	6
4	Cartman	4
4	Cartman	-1
4	Cartman	4
4	Cartman	-1
4	Cartman	1
4	Stan	10
4	Other	2
4	Cartman	9
4	Stan	18
4	Stan	-1
4	Stan	2
4	Stan	-1
4	Stan	3
4	Stan	-1
4	Kyle	3
4	Stan	3
4	Cartman	4
4	Cartman	-1
4	Cartman	2
4	Other	2
4	Other	10
4	Other	16
4	Other	-1
4	Other	1
4	Other	-1
4	Other	1
4	Stan	8
4	Other	8
4	Other	3
4	Other	27
4	Other	10
4	Other	11
4	Other	11
4	Other	6
4	Other	8
4	Other	9
4	Other	7
4	Other	6
4	Other	7
4	Other	26
4	Other	14
4	Other	4
4	Other	17
4	Stan	10
4	Stan	-1
4	Stan	22
4	Kyle	1
4	Cartman	3
4	Stan	7
4	Stan	-1
4	Stan	5
4	Kyle	6
4	Kyle	-1
4	Kyle	5
4	Cartman	8
4	Cartman	-1
4	Cartman	9
4	Kenny	6
4	Kenny	-1
4	Kenny	3
4	Stan	15
4	Kyle	11
4	Stan	2
4	Other	12
4	Other	32
4	Other	5
4	Other	3
4	Other	17
4	Other	7
4	Other	34
4	Other	10
4	Stan	14
4	Other	28
4	Other	17
4	Stan	-1
4	Stan	1
4	Kyle	3
4	Stan	9
4	Cartman	7
4	Cartman	-1
4	Stan	12
4	Kyle	9
4	Stan	8
4	Stan	-1
4	Stan	10
4	Chef	50
4	Kyle	2
4	Chef	5
4	Kyle	1
4	Chef	2
4	Kyle	1
4	Chef	9
4	Other	4
4	Chef	10
4	Other	17
4	Chef	12
4	Other	5
4	Other	25
4	Other	5
4	Other	27
4	Other	3
4	Other	11
4	Other	10
4	Other	1
4	Other	-1
4	Other	2
4	Other	1
4	Other	1
4	Other	1
4	Other	1
4	Other	2
