character	episode	words	profanities
10	39	0.0	0
11	39	0.0	0
1	40	0.0	0
2	40	12.93	18.82
3	40	0.0	0
4	40	5.25	26.49
5	40	0.0	0
6	40	0.0	0
7	40	0.0	0
8	40	0.0	0
9	40	0.0	0
10	40	0.0	0
11	40	0.0	0
1	41	14.9	21.96
2	41	8.6	20.76
3	41	9.04	19.74
4	41	0.45	66.67
5	41	0.0	0
6	41	0.0	0
7	41	4.22	0
8	41	0.15	200.0
9	41	2.86	20.83
10	41	0.0	0
11	41	0.0	0
1	42	13.07	13.05
2	42	11.84	8.65
3	42	7.65	4.46
4	42	0.99	0
5	42	0.0	0
6	42	0.0	0
7	42	0.0	0
8	42	0.0	0
9	42	1.47	69.77
10	42	0.0	0
11	42	0.0	0
1	43	15.25	9.11
2	43	7.78	17.86
3	43	13.86	2.0
4	43	1.86	29.85
5	43	0.0	0
6	43	1.33	0
7	43	0.44	0
8	43	0.0	0
9	43	0.92	0
10	43	0.0	0
11	43	0.0	0
1	44	10.99	18.62
2	44	9.7	3.01
3	44	7.86	22.3
4	44	0.58	100.0
5	44	3.3	17.7
6	44	0.0	0
7	44	1.81	0
8	44	0.0	0
9	44	3.54	16.53
10	44	0.0	0
11	44	2.86	10.2
1	45	24.97	13.78
2	45	9.75	5.88
3	45	10.55	16.3
4	45	0.14	200.0
5	45	2.06	13.89
6	45	0.0	0
7	45	4.27	13.42
8	45	0.0	0
9	45	2.21	51.95
10	45	0.0	0
11	45	0.0	0
1	46	8.21	80.17
2	46	9.43	0
3	46	3.47	0
4	46	0.03	0
5	46	0.0	0
6	46	0.0	0
7	46	0.0	0
8	46	0.0	0
9	46	10.36	36.79
10	46	0.0	0
11	46	0.0	0
1	47	14.82	12.89
2	47	7.67	7.12
3	47	17.05	12.8
4	47	2.48	43.96
5	47	0.0	0
6	47	4.86	0
7	47	0.46	0
8	47	0.0	0
9	47	1.58	51.72
10	47	0.0	0
11	47	0.0	0
1	48	9.43	11.83
2	48	5.47	20.41
3	48	9.15	12.2
4	48	0.53	52.63
5	48	0.0	0
6	48	0.0	0
7	48	0.0	0
8	48	0.0	0
9	48	19.54	7.14
10	48	0.0	0
11	48	0.0	0
1	49	20.35	25.17
2	49	11.44	24.88
3	49	16.33	17.42
4	49	0.91	31.25
5	49	2.45	23.26
6	49	0.0	0
7	49	0.0	0
8	49	0.0	0
9	49	0.0	0
10	49	1.91	74.63
11	49	0.0	0
1	50	23.31	22.51
2	50	9.99	2.5
3	50	11.12	8.99
4	50	1.25	40.0
5	50	2.45	10.2
6	50	3.07	8.13
7	50	0.0	0
8	50	0.0	0
9	50	0.0	0
10	50	0.0	0
11	50	0.0	0
1	51	6.77	29.7
2	51	4.73	7.09
3	51	10.66	15.72
4	51	3.49	9.62
5	51	0.0	0
6	51	0.0	0
7	51	4.86	0
8	51	0.0	0
9	51	0.0	0
10	51	0.0	0
11	51	0.0	0
1	52	5.6	0
2	52	5.02	5.71
3	52	7.66	11.24
4	52	0.32	0
5	52	0.0	0
6	52	11.79	19.46
7	52	0.6	0
8	52	0.03	0
9	52	7.52	26.72
10	52	0.0	0
11	52	0.0	0
1	53	0.0	0
2	53	0.0	0
3	53	0.0	0
4	53	0.0	0
5	53	0.0	0
6	53	0.0	0
7	53	0.0	0
8	53	0.0	0
9	53	0.0	0
10	53	0.0	0
11	53	0.0	0
1	54	28.18	7.19
2	54	4.77	18.18
3	54	4.86	17.86
4	54	1.82	0
5	54	2.26	12.82
6	54	0.0	0
7	54	0.0	0
8	54	0.0	0
9	54	2.29	37.97
10	54	0.0	0
11	54	0.0	0
1	55	11.65	13.99
2	55	0.68	0
3	55	19.45	6.98
4	55	1.6	33.9
5	55	3.04	8.93
6	55	0.0	0
7	55	0.0	0
8	55	0.19	0
9	55	14.78	20.22
10	55	0.0	0
11	55	0.0	0
1	56	9.02	20.35
2	56	5.61	0
3	56	3.28	0
4	56	0.55	47.62
5	56	0.03	0
6	56	15.5	10.15
7	56	0.66	0
8	56	12.64	0
9	56	3.41	15.38
10	56	0.03	0
11	56	0.08	0
1	57	33.42	11.49
2	57	4.5	22.73
3	57	8.67	0
4	57	0.97	52.63
5	57	2.35	0
6	57	3.68	0
7	57	17.45	0
8	57	3.63	14.08
9	57	0.0	0
10	57	0.0	0
11	57	0.0	0
1	58	16.17	9.35
2	58	3.15	8.0
3	58	12.12	12.47
4	58	0.68	111.11
5	58	2.27	0
6	58	0.0	0
7	58	0.6	0
8	58	0.0	0
9	58	0.0	0
10	58	0.6	0
11	58	0.0	0
1	59	28.51	9.6
2	59	2.49	32.97
3	59	3.01	0
4	59	0.57	0
5	59	0.52	0
6	59	0.0	0
7	59	0.0	0
8	59	0.0	0
9	59	0.0	0
10	59	0.0	0
11	59	0.0	0
1	60	11.42	14.63
2	60	7.91	7.04
3	60	11.67	11.93
4	60	0.45	125.0
5	60	3.29	0
6	60	2.09	53.33
7	60	0.0	0
8	60	0.33	0
9	60	8.1	24.05
10	60	0.33	0
11	60	0.0	0
1	61	19.51	10.37
2	61	7.63	45.45
3	61	9.65	20.96
4	61	0.06	0
5	61	0.0	0
6	61	0.0	0
7	61	0.0	0
8	61	0.0	0
9	61	25.84	3.36
10	61	0.0	0
11	61	0.0	0
1	62	28.27	15.02
2	62	9.02	7.84
3	62	2.76	0
4	62	0.0	0
5	62	3.01	0
6	62	0.0	0
7	62	0.64	0
8	62	3.79	0
9	62	1.77	0
10	62	2.51	0
11	62	0.0	0
1	63	13.47	27.14
2	63	7.42	11.36
3	63	5.74	0
4	63	0.82	0
5	63	0.79	0
6	63	6.66	0
7	63	0.0	0
8	63	0.17	0
9	63	0.76	0
10	63	0.08	0
11	63	0.0	0
1	64	14.62	8.1
2	64	13.44	0
3	64	12.43	0
4	64	0.15	0
5	64	3.94	0
6	64	0.0	0
7	64	0.38	0
8	64	0.0	0
9	64	0.0	0
10	64	0.0	0
11	64	2.13	0
1	65	7.47	47.81
2	65	21.77	4.1
3	65	12.88	20.79
4	65	0.12	0
5	65	3.96	37.59
6	65	0.0	0
7	65	0.42	0
8	65	0.0	0
9	65	0.0	0
10	65	0.0	0
11	65	0.0	0
1	66	11.88	45.35
2	66	14.6	31.37
3	66	6.38	42.19
4	66	0.24	0
5	66	1.4	57.69
6	66	8.46	31.85
7	66	1.67	16.13
8	66	0.0	0
9	66	7.3	180.81
