character	episode	value
7	108	12.76
8	108	0
9	108	8.93
10	108	200.0
11	108	333.33
1	109	10.89
2	109	4.82
3	109	0
4	109	0
5	109	0
6	109	0
7	109	8.85
8	109	0
9	109	71.43
10	109	0
11	109	0
1	110	11.36
2	110	8.67
3	110	6.38
4	110	0
5	110	2.7
6	110	0
7	110	0
8	110	27.78
9	110	0
10	110	0
11	110	0
1	111	16.49
2	111	1.71
3	111	0
4	111	52.63
5	111	0
6	111	0
7	111	0
8	111	0
9	111	0
10	111	0
11	111	0
1	112	37.78
2	112	30.02
3	112	27.03
4	112	74.07
5	112	0
6	112	0
7	112	0
8	112	0
9	112	0
10	112	125.0
11	112	41.67
1	113	16.44
2	113	9.8
3	113	0
4	113	0
5	113	0
6	113	0
7	113	0
8	113	0
9	113	0
10	113	0
11	113	0
1	114	17.15
2	114	24.39
3	114	14.71
4	114	52.63
5	114	0
6	114	0
7	114	0
8	114	0
9	114	0
10	114	0
11	114	0
1	115	47.62
2	115	0
3	115	11.64
4	115	0
5	115	0
6	115	2.8
7	115	3.37
8	115	0
9	115	0
10	115	0
11	115	0
1	116	28.04
2	116	31.25
3	116	66.67
4	116	0
5	116	2.18
6	116	0
7	116	0
8	116	0
9	116	0
10	116	0
11	116	0
1	117	10.36
2	117	2.58
3	117	4.1
4	117	0
5	117	0
6	117	0
7	117	0
8	117	0
9	117	0
10	117	0
11	117	0
1	118	45.92
2	118	50.63
3	118	17.95
4	118	0
5	118	0
6	118	0
7	118	7.22
8	118	0
9	118	0
10	118	0
11	118	0
1	119	30.64
2	119	11.66
3	119	2.81
4	119	0
5	119	15.62
6	119	0
7	119	0
8	119	0
9	119	0
10	119	0
11	119	0
1	120	17.54
2	120	5.79
3	120	11.07
4	120	0
5	120	0
6	120	0
7	120	1.72
8	120	0
9	120	0
10	120	0
11	120	0
1	121	17.58
2	121	0
3	121	6.49
4	121	0
5	121	0
6	121	0
7	121	0
8	121	0
9	121	0
10	121	0
11	121	0
1	122	20.51
2	122	5.33
3	122	5.59
4	122	0
5	122	3.8
6	122	0
7	122	0
8	122	0
9	122	0
10	122	0
11	122	0
1	123	100.0
2	123	0
3	123	0
4	123	0
5	123	4.57
6	123	0
7	123	0
8	123	4.2
9	123	0
10	123	0
11	123	0
1	124	5.01
2	124	14.88
3	124	44.44
4	124	0
5	124	0
6	124	0
7	124	0
8	124	0
9	124	0
10	124	0
11	124	0
1	125	0
2	125	24.88
3	125	11.01
4	125	0
5	125	0
6	125	0
7	125	0
8	125	0
9	125	0
10	125	0
11	125	0
1	126	90.91
2	126	18.13
3	126	0
4	126	0
5	126	0
6	126	0
7	126	0
8	126	0
9	126	40.0
10	126	0
11	126	0
1	127	5.17
2	127	0
3	127	4.61
4	127	1000.0
5	127	0
6	127	25.0
7	127	5.78
8	127	0
9	127	0
10	127	0
11	127	0
1	128	6.9
2	128	18.69
3	128	3.29
4	128	0
5	128	0
6	128	0
7	128	0
8	128	0
9	128	0
10	128	0
11	128	0
1	129	9.55
2	129	11.49
3	129	0
4	129	21.28
5	129	0
6	129	0
7	129	0
8	129	0
9	129	0
10	129	0
11	129	0
1	130	25.48
2	130	9.39
3	130	16.46
4	130	0
5	130	0
6	130	0
7	130	4.54
8	130	0
9	130	0
10	130	0
11	130	0
1	131	44.87
2	131	14.08
3	131	6.54
4	131	166.67
5	131	6.36
6	131	0
7	131	0
8	131	0
9	131	0
10	131	0
11	131	0
1	132	22.99
2	132	0
3	132	0
4	132	0
5	132	17.05
6	132	0
7	132	0
8	132	0
9	132	0
10	132	0
11	132	0
1	133	33.49
2	133	10.81
3	133	6.62
4	133	0
5	133	0
6	133	0
7	133	4.11
8	133	0
9	133	0
10	133	0
11	133	0
1	134	15.97
2	134	14.81
3	134	12.35
4	134	0
5	134	6.64
6	134	0
7	134	0
8	134	0
9	134	0
10	134	8.55
11	134	31.25
1	135	7.63
2	135	4.64
3	135	5.9
4	135	0
5	135	0
6	135	0
7	135	0
8	135	0
9	135	0
10	135	0
11	135	0
1	136	4.49
2	136	9.62
3	136	5.05
4	136	0
5	136	0
6	136	0
7	136	0
8	136	0
9	136	0
10	136	0
11	136	0
1	137	30.77
2	137	0
3	137	0
4	137	0
5	137	0
6	137	0
7	137	0
8	137	0
9	137	0
10	137	0
11	137	0
1	138	6.41
2	138	2.8
3	138	0
4	138	142.86
5	138	0
6	138	0
7	138	0
8	138	0
9	138	0
10	138	0
11	138	0
1	139	0
2	139	0
3	139	4.01
4	139	0
5	139	0
6	139	0
7	139	5.05
8	139	0
9	139	0
10	139	0
11	139	0
1	140	54.22
2	140	10.5
3	140	15.5
4	140	0
5	140	0
6	140	34.48
7	140	0
8	140	0
9	140	0
10	140	32.26
11	140	0
1	141	41.9
2	141	8.93
3	141	2.91
4	141	0
5	141	16.0
6	141	0
7	141	17.54
8	141	0
9	141	0
10	141	0
11	141	0
1	142	6.06
2	142	4.39
3	142	0
4	142	0
5	142	0
6	142	0
7	142	8.55
8	142	0
9	142	0
10	142	0
11	142	0
1	143	8.48
2	143	11.63
3	143	0
4	143	0
5	143	0
6	143	0
7	143	0
8	143	0
9	143	0
10	143	0
11	143	0
1	144	0
2	144	0
3	144	0
4	144	0
5	144	0
6	144	0
7	144	0
8	144	0
9	144	0
10	144	0
11	144	0
1	145	14.84
2	145	12.66
3	145	8.11
4	145	45.45
5	145	0
6	145	0
7	145	0
8	145	0
9	145	0
10	145	0
11	145	0
1	146	12.49
2	146	0
3	146	0
4	146	500.0
5	146	0
6	146	0
7	146	0
8	146	0
9	146	0
10	146	0
11	146	0
1	147	18.65
2	147	0
3	147	3.42
4	147	0
5	147	0
6	147	0
7	147	3.1
8	147	0
9	147	0
10	147	0
11	147	0
1	148	10.71
2	148	29.89
3	148	3.28
4	148	0
5	148	19.61
6	148	0
7	148	0
8	148	0
9	148	0
10	148	0
11	148	0
1	149	14.1
2	149	11.26
3	149	0
4	149	0
5	149	0
6	149	0
7	149	0
8	149	0
9	149	0
10	149	0
11	149	0
1	150	23.44
2	150	15.87
3	150	0
4	150	0
5	150	11.63
6	150	0
7	150	0
8	150	0
9	150	0
10	150	0
11	150	0
1	151	10.31
2	151	29.41
3	151	0
4	151	0
5	151	0
6	151	0
7	151	0
8	151	0
9	151	0
10	151	0
11	151	0
1	152	27.78
2	152	40.82
3	152	0
4	152	0
5	152	0
6	152	0
7	152	0
8	152	0
9	152	0
10	152	0
11	152	0
1	153	0
2	153	0
3	153	4.19
4	153	0
5	153	0
6	153	0
7	153	0
8	153	0
9	153	0
10	153	0
11	153	0
1	154	14.49
2	154	0
3	154	3.55
4	154	0
5	154	0
6	154	0
7	154	0
8	154	0
9	154	0
10	154	0
11	154	0
1	155	28.72
2	155	36.46
3	155	40.0
4	155	285.71
5	155	2.51
6	155	0
7	155	0
8	155	0
9	155	0
10	155	0
11	155	0
1	156	9.19
2	156	5.81
3	156	0
4	156	125.0
5	156	0
6	156	0
7	156	0
8	156	0
9	156	0
10	156	0
11	156	0
1	157	5.18
2	157	2.71
3	157	0
4	157	0
5	157	0
6	157	0
7	157	0
8	157	0
9	157	0
10	157	0
11	157	0
1	158	18.52
2	158	24.0
3	158	0
4	158	0
5	158	0
6	158	0
7	158	5.42
8	158	0
9	158	0
10	158	0
11	158	0
1	159	19.74
2	159	23.53
3	159	0
4	159	0
5	159	43.48
6	159	0
7	159	0
8	159	0
9	159	0
10	159	0
11	159	0
1	160	14.53
2	160	19.61
3	160	0
4	160	47.62
5	160	0
6	160	0
7	160	3.92
8	160	0
9	160	0
10	160	0
11	160	0
